record_id,category,status,severity,area,reported_date,closed_date,resolution_days
SR-10315,Street Light,In Progress,Medium,Menlo Park,2026-03-14,,
SR-10316,Pothole / Road Damage,Resolved,Medium,Hatfield,2026-06-25,2026-06-27,2.1
SR-10317,Street Light,Resolved,Low,Centurion,2026-03-26,2026-03-28,2.4
SR-10318,Street Light,Assigned,Medium,Soshanguve,2026-04-12,,
SR-10319,Street Light,Submitted,Low,Soshanguve,2026-05-05,,
SR-10320,Traffic Light,Resolved,Medium,Pretoria CBD,2026-03-14,2026-03-16,2.4
SR-10321,Traffic Light,Assigned,Medium,Arcadia,2026-03-29,,
SR-10322,Pothole / Road Damage,In Progress,Medium,Hatfield,2026-08-08,,
SR-10323,Pothole / Road Damage,Submitted,Medium,Hatfield,2026-09-16,,
SR-10324,Traffic Light,In Progress,High,Pretoria CBD,2026-06-14,,
SR-10325,Street Light,Resolved,Low,Centurion,2026-07-29,2026-07-30,0.6
SR-10326,Street Light,Resolved,Medium,Hatfield,2026-03-03,2026-03-05,2.4
SR-10327,Road Signage,In Progress,Low,Sunnyside,2026-03-31,,
SR-10328,Stormwater Drain,Submitted,Low,Sunnyside,2026-07-14,,
SR-10329,Traffic Light,Resolved,Critical,Centurion,2026-05-02,2026-05-06,3.9
SR-10330,Street Light,Resolved,High,Hatfield,2026-08-04,2026-08-05,1.0
SR-10331,Traffic Light,Resolved,Low,Arcadia,2026-09-05,2026-09-09,3.8
SR-10332,Traffic Light,Submitted,Low,Sunnyside,2026-07-02,,
SR-10333,Pothole / Road Damage,Resolved,Medium,Centurion,2026-04-06,2026-04-08,1.4
SR-10334,Street Light,Submitted,Medium,Brooklyn,2026-06-09,,
SR-10335,Street Light,Verified,Low,Brooklyn,2026-04-11,,
SR-10336,Traffic Light,Assigned,Medium,Arcadia,2026-03-04,,
SR-10337,Traffic Light,Submitted,Medium,Brooklyn,2026-08-30,,
SR-10338,Street Light,Resolved,Low,Brooklyn,2026-03-23,2026-03-25,2.4
SR-10339,Pothole / Road Damage,In Progress,Low,Centurion,2026-03-25,,
SR-10340,Street Light,Verified,High,Sunnyside,2026-08-23,,
SR-10341,Street Light,In Progress,Medium,Pretoria West,2026-08-15,,
SR-10342,Pothole / Road Damage,Resolved,Medium,Centurion,2026-05-25,2026-05-27,2.5
SR-10343,Street Light,Submitted,Medium,Arcadia,2026-04-21,,
SR-10344,Pothole / Road Damage,Verified,Medium,Mamelodi,2026-03-16,,
SR-10345,Road Signage,Resolved,Medium,Centurion,2026-06-22,2026-06-27,4.6
SR-10346,Traffic Light,In Progress,Medium,Arcadia,2026-06-27,,
SR-10347,Pothole / Road Damage,Resolved,Critical,Brooklyn,2026-08-17,2026-08-17,0.7
SR-10348,Traffic Light,Resolved,Medium,Menlo Park,2026-06-13,2026-06-14,1.2
SR-10349,Pothole / Road Damage,Submitted,Low,Hatfield,2026-04-18,,
SR-10350,Stormwater Drain,In Progress,High,Mamelodi,2026-06-06,,
SR-10351,Street Light,Resolved,Medium,Pretoria CBD,2026-09-03,2026-09-06,2.9
SR-10352,Pothole / Road Damage,Submitted,Medium,Menlo Park,2026-05-23,,
SR-10353,Pothole / Road Damage,Resolved,Medium,Pretoria CBD,2026-08-22,2026-08-24,1.2
SR-10354,Stormwater Drain,Resolved,Medium,Menlo Park,2026-07-22,2026-07-22,0.8
SR-10355,Street Light,Resolved,Low,Brooklyn,2026-05-18,2026-05-22,4.2
SR-10356,Traffic Light,Resolved,Low,Pretoria CBD,2026-05-11,2026-05-14,2.9
SR-10357,Street Light,Resolved,Medium,Mamelodi,2026-03-03,2026-03-06,3.0
SR-10358,Street Light,Resolved,High,Sunnyside,2026-09-03,2026-09-04,1.6
SR-10359,Pothole / Road Damage,Resolved,Medium,Arcadia,2026-03-07,2026-03-10,2.8
SR-10360,Street Light,Resolved,Medium,Pretoria CBD,2026-06-26,2026-06-30,3.5
SR-10361,Pothole / Road Damage,Resolved,Low,Mamelodi,2026-07-14,2026-07-17,3.0
SR-10362,Traffic Light,In Progress,Medium,Pretoria CBD,2026-05-29,,
SR-10363,Traffic Light,Resolved,Low,Sunnyside,2026-07-29,2026-08-01,3.0
SR-10364,Pothole / Road Damage,In Progress,Medium,Pretoria CBD,2026-05-14,,
SR-10365,Street Light,Resolved,Low,Pretoria West,2026-08-17,2026-08-18,0.8
SR-10366,Pothole / Road Damage,Submitted,Critical,Centurion,2026-08-29,,
SR-10367,Pothole / Road Damage,Resolved,Low,Pretoria CBD,2026-04-11,2026-04-13,1.5
SR-10368,Pothole / Road Damage,Resolved,Medium,Sunnyside,2026-05-27,2026-05-29,2.0
SR-10369,Street Light,Verified,Medium,Soshanguve,2026-05-29,,
SR-10370,Traffic Light,Resolved,Medium,Pretoria CBD,2026-06-08,2026-06-12,4.3
SR-10371,Pothole / Road Damage,Submitted,Low,Hatfield,2026-06-23,,
SR-10372,Street Light,In Progress,Medium,Menlo Park,2026-08-06,,
SR-10373,Traffic Light,Resolved,Medium,Hatfield,2026-06-18,2026-06-19,1.1
SR-10374,Street Light,Resolved,Medium,Soshanguve,2026-05-05,2026-05-07,1.8
SR-10375,Traffic Light,Submitted,Critical,Hatfield,2026-07-05,,
SR-10376,Pothole / Road Damage,Resolved,High,Sunnyside,2026-03-17,2026-03-20,2.8
SR-10377,Street Light,Resolved,Low,Brooklyn,2026-06-24,2026-06-27,2.8
SR-10378,Street Light,In Progress,Low,Mamelodi,2026-04-23,,
SR-10379,Road Signage,Verified,Medium,Sunnyside,2026-09-05,,
SR-10380,Traffic Light,In Progress,Medium,Pretoria CBD,2026-06-21,,
SR-10381,Street Light,Assigned,Medium,Arcadia,2026-05-12,,
SR-10382,Stormwater Drain,Resolved,Medium,Sunnyside,2026-03-02,2026-03-04,1.5
SR-10383,Pothole / Road Damage,Resolved,Medium,Pretoria CBD,2026-05-12,2026-05-16,3.5
SR-10384,Pothole / Road Damage,In Progress,Medium,Mamelodi,2026-08-09,,
SR-10385,Street Light,Assigned,Low,Sunnyside,2026-05-17,,
SR-10386,Traffic Light,In Progress,Low,Sunnyside,2026-04-09,,
SR-10387,Traffic Light,Resolved,Medium,Pretoria CBD,2026-06-01,2026-06-02,1.1
SR-10388,Pothole / Road Damage,Resolved,Critical,Waterkloof,2026-04-13,2026-04-17,3.5
SR-10389,Pothole / Road Damage,Resolved,Medium,Sunnyside,2026-08-21,2026-08-23,2.2
SR-10390,Traffic Light,In Progress,Medium,Menlo Park,2026-05-23,,
SR-10391,Street Light,Submitted,Low,Pretoria CBD,2026-03-27,,
SR-10392,Pothole / Road Damage,Resolved,Medium,Pretoria CBD,2026-07-17,2026-07-20,3.2
SR-10393,Stormwater Drain,Resolved,Medium,Mamelodi,2026-05-06,2026-05-09,3.2
SR-10394,Street Light,Verified,Medium,Centurion,2026-05-01,,
SR-10395,Street Light,Verified,Medium,Brooklyn,2026-08-25,,
SR-10396,Stormwater Drain,Resolved,Low,Pretoria CBD,2026-08-10,2026-08-14,4.0
SR-10397,Pothole / Road Damage,Assigned,Medium,Arcadia,2026-03-16,,
SR-10398,Street Light,In Progress,Medium,Pretoria CBD,2026-05-06,,
SR-10399,Traffic Light,Assigned,Medium,Centurion,2026-08-12,,
SR-10400,Pothole / Road Damage,Resolved,Medium,Menlo Park,2026-08-31,2026-09-04,4.3
SR-10401,Pothole / Road Damage,Resolved,Critical,Centurion,2026-08-24,2026-08-26,2.5
SR-10402,Street Light,Resolved,Medium,Centurion,2026-05-16,2026-05-19,2.6
SR-10403,Pothole / Road Damage,Verified,High,Pretoria CBD,2026-08-04,,
SR-10404,Pothole / Road Damage,Verified,Low,Menlo Park,2026-07-05,,
SR-10405,Pothole / Road Damage,Verified,Medium,Centurion,2026-07-22,,
SR-10406,Pothole / Road Damage,Assigned,Low,Pretoria CBD,2026-03-31,,
SR-10407,Pothole / Road Damage,Verified,Low,Arcadia,2026-07-02,,
SR-10408,Street Light,Resolved,Low,Brooklyn,2026-07-05,2026-07-08,3.7
SR-10409,Pothole / Road Damage,Resolved,Medium,Menlo Park,2026-03-25,2026-03-29,4.4
SR-10410,Pothole / Road Damage,Submitted,Medium,Soshanguve,2026-08-06,,
SR-10411,Stormwater Drain,Resolved,High,Centurion,2026-04-23,2026-04-27,3.9
SR-10412,Pothole / Road Damage,Resolved,Medium,Arcadia,2026-05-04,2026-05-08,4.2
SR-10413,Street Light,Resolved,Medium,Arcadia,2026-03-22,2026-03-26,4.3
SR-10414,Traffic Light,Assigned,Medium,Centurion,2026-07-20,,
SR-10415,Traffic Light,Resolved,High,Arcadia,2026-04-13,2026-04-14,1.0
SR-10416,Pothole / Road Damage,Verified,Low,Mamelodi,2026-06-29,,
SR-10417,Traffic Light,Resolved,Low,Pretoria CBD,2026-09-14,2026-09-15,1.4
SR-10418,Pothole / Road Damage,Verified,Low,Sunnyside,2026-04-05,,
SR-10419,Street Light,Resolved,Low,Arcadia,2026-03-30,2026-04-01,2.1
SR-10420,Traffic Light,Resolved,High,Pretoria CBD,2026-07-05,2026-07-08,2.9
SR-10421,Pothole / Road Damage,Resolved,High,Hatfield,2026-05-17,2026-05-20,3.2
SR-10422,Pothole / Road Damage,Resolved,High,Hatfield,2026-05-19,2026-05-22,2.5
SR-10423,Road Signage,Resolved,Medium,Pretoria CBD,2026-08-04,2026-08-05,1.0
SR-10424,Pothole / Road Damage,Submitted,Medium,Hatfield,2026-05-24,,
SR-10425,Street Light,Resolved,Medium,Pretoria West,2026-08-15,2026-08-19,4.3
SR-10426,Traffic Light,Resolved,Low,Waterkloof,2026-08-09,2026-08-13,4.5
SR-10427,Street Light,Resolved,Low,Menlo Park,2026-03-31,2026-04-01,1.1
SR-10428,Street Light,Resolved,Medium,Brooklyn,2026-08-28,2026-08-31,2.6
